Tweet,Message,Match,Polarity
0,RT Ranting4Canada Why are the Liberals using our tax dollars to fund a biased voting guide for Muslims And why does the guide contend th,"biased,contend",negative
1,"Twenty years ago I was completing my first year of living in Portland, Oregon, after a major move from the Southeas ",NONE,neutral
2,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
3,Please RT gt gt Free Education University How to graduate DEBT FREE Get 75 off for a limited time Link in Bio ,"debt,limited",negative
4,RT TheInternetU We have 4 seats available for people who want to be a part of the journey in REFORMING the education system The price wi,"available,reforming",positive
5,The panel discussion on Leveraging Innovation and Technology Ecosystems to scale up Delivery of Quality Education ,innovation,positive
6,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
7,RT TundeTASH Top 10 Sites to learn Excel for free Sites for Free Online Education Sites for your career Sites to review your re,"top,excel,free",positive
8,"""After a disappointing few years at a large university, I was amazed at the quality of education, level of help and ",NONE,neutral
9,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
10,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
11,"RT KoyeArez KRG's failure in higher education Erbil. Number of private for profit universities built by corrupt Kurdish officials, loc","failure,corrupt",negative
12,Why are the Liberals using our tax dollars to fund a biased voting guide for Muslims And why does the guide conten ,biased,negative
13,"RT CharteredColl Autumn term event Early Education AGM and Autumn Conference 2019 Goldsmiths, University of London November 9th 10 ",NONE,neutral
14,Education on the line strike support ,NONE,neutral
15,RT EswatiniGovern1 Congratulations to the Limkokwing University graduating class of 2019. A total of 709 students graduated from the Univ,congratulations,positive
16,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
17,"RT Independent University vice chancellor paid 300,000 a year suspended for 'not paying rent' ",vice,negative
18,"RT GhanaianMuseum Viemens Bamfo, He is 12 year Old. He has been offered a distance learning course in Public Administration at the Univer",NONE,neutral
19,"RT nbstv . SamsonKasumba If you want quality, there will be a price for it. Makerere University education is top quality education, how",top,positive
20,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
21, ThatTimWalker LibDems Wrong use of language for mentalhealth in the context of a university city which has a st ,wrong,negative
22,RT grazytgrazynatt cynthia lardner JRWitt VipEurope5 InfluencerProm1 tripletsfan19 sumawun kiyotaka 1991 zairesue Vivvus2 Tom ,NONE,neutral
23,Are InternationalStudents who often spend everything their family has to come to Canada in the hopes of an educat ,NONE,neutral
24,"RT JrSRKian In 2009, during SRKs conferment ceremony of an honorary doctorate by the British Bedfordshire University, Khan pledged his de",NONE,neutral
25,November is Indigenous Education month The FMLC recognizes the enduring presence and contributions of Indigenous P ,NONE,neutral
26,"RT JrSRKian In 2009, during SRKs conferment ceremony of an honorary doctorate by the British Bedfordshire University, Khan pledged his de",NONE,neutral
27,"Want to work at The University of Texas at Dallas We're hiring in Richardson, TX Click the link in our bio for d ",work,positive
28,RT FacultyForward WOW University workers across the UK many of whom are low paid and temporary sound familiar just voted to str,wow,positive
29,"University workers back strike action over low pay, support cuts and mounting workloads. We're sick of being pushed ","strike,sick",negative
30," AndrewScheer With the destruction of public healthcare and education initiated by the Kenney government, they must ",destruction,negative
31,RT MJM PhD Fighting Fires and Heart Disease College of Education Texas State University ,NONE,neutral
32,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
33,RT IrishEmbJapanEN Best wishes to University College Dublin ucddublin amp Intl Christian University ICU JP for their important symposium,"best,important",positive
34,"RT Rodprime My article which is co authored with the finest Alaskan I know, kevin stange, is out today. We are producing policy relevan",finest,positive
35,RT HaiLe2610 lsbu Show them whos boss You should be here Were OPEN for Clearing apply now. Join LSBU. Link in bio TeamLSBU,NONE,neutral
36,"Want to work at Fayetteville State University We're hiring in Fayetteville, NC Click for details Education",work,positive
37,RT HaiLe2610 LSBU What future do you want Join LSBU through Clearing apply now. Link in bio TeamLSBU Clearing GetWhatsYours .,NONE,neutral
38,"RT TilleyQuinn Thanks to God, family, teammates, coaches, and so much more. I will be continuing my education and playing rugby at Arkans",NONE,neutral
39,RT ProfAlSloan The School of Dentistry is seeking an enthusiastic clinician with a passion for clinical education and clinical student de,"enthusiastic,passion",positive
40,RT TrentUSoE The deadline to apply to our Bachelor of Education program Trent University is only a month away Be sure to visit our appli,NONE,neutral
41,"RT iad4learnteach If you're interested in learning more about how to teach effectively online, this blog outlines a new course being offe",effectively,positive
42, ICYMI Ryan Lalonde of GoBuddi joined jaymrosenthal on BofCLive to discuss the importance of education in the e ,NONE,neutral
43,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
44,"RT ghost wales Why should university students get a free education, what about thick bastards like me that left school at 16 to join the","free,like",positive
45,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
46,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
47,RT MScDigital Expand Your Employment Opportunities with the World Leaders in Blockchain Education. University of Nicosia.,NONE,neutral
48,Anyone going into university higher education DO NOT partner with SallieMae DO NOT partner with SallieMae D ,NONE,neutral
49,RT ucu Guardian Disillusioned university workers have voted in support of strike action on campuses across the UK following separate bal,"disillusioned,strike",negative
50," Edmonton please show your support for this beautiful 11 year old child TODAY FRIDAY, 1 NOV AT 18 00 and attend the ","support,beautiful",positive
51,From congratulating prospective Bears for making the wise choice to pursue higher education beyond high school to s ,wise,positive
52, TweetsByShweta India needs a fully independent university for Teacher training right from nursery in all states... ,right,positive
53,"Free Education University How to find scholarships and grants specifically tailored to your personality type, hob ",free,positive
54,"VOL 7, NO 14 2018 Communication Papers COMUNICACIN, EDUCACIN Y APRENDIZAJE education ",NONE,neutral
55,RT TeamOhioGray Congratulations to 2021 P Amber Roth who has verbally committed to Youngstown State University to further her education a,congratulations,positive
56,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
57,WOW University workers across the UK many of whom are low paid and temporary sound familiar just voted to ,wow,positive
58,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
59,"RT nyamadon Humbling experience. Bumped into a true granary of knowledge. Tamali Okao. In 1974, she made history being appointed first fe",bumped,negative
60,RT sh grewal Tunisia's Minister of Education just closed down 1 private university and began an audit of 7 others on corruption allegati,corruption,negative
61," WFP SouthSudan WFP WFP Canada WFP Africa BurbanoCarmen mfjhollingworth Education is a key factor, in the cons ",cons,negative
62, agavenectar ScottPresler realDonaldTrump marklevinshow How do you get a quality education without university ,NONE,neutral
63, UAlberta FoMD shirleyschipper FamPhysCan UAlbertaAlumni Officially installed shirleyschipper our Vice Dean Ed ,vice,negative
64,RT PriyamvadaGopal You can take out the quotation marks. We are pissed. ,NONE,neutral
65,"RT cosatu COSATU President participates intThe 2019 GLU Alumni Workshop organised by The Global Labour University GLU at Wits, in par",NONE,neutral
66,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
67,RT SportingKV Congratulations to Maddie Dudley who has committed to play collegiate soccer and further her education at Baker University.,congratulations,positive
68,5 weeks Learning how to study. Rewards Free Education. Clear To be part of Harvard University team. Best regard ,"free,clear,best,regard",positive
69,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
70,"RT Stani Milcheva We care about our students, that is why we do this job and have not gone into industry. But we want to be able to make",NONE,neutral
71,"Aside from the ""Brexit"" subject what else are you standing for What do you see as a future policy for disabled, po ",NONE,neutral
72, GregPhi85309661 skihouse2016 MatthewJshow ChatByCC realDonaldTrump I'm 30.....lol I dont have college kids and ,NONE,neutral
73,"RT RedSanc ""We've been teaching political correctness rather than....those big laws that lend themselves to freedom."" PRECISELY. Open min",NONE,neutral
74,RT YoliShade I FINALLY HAVE A COURT DATE. My legal council at SERI RightsSA and I will be appearing at the Grahamstown High Court on 4 D,NONE,neutral
75,"RT Independent University vice chancellor paid 300,000 a year suspended for 'not paying rent' ",vice,negative
76,The School of Dentistry is seeking an enthusiastic clinician with a passion for clinical education and clinical stu ,"enthusiastic,passion",positive
77,Feedback I have been receiving today... setonhill university professor collegelife griffins highered follow ,NONE,neutral
78, COSATU President participates intThe 2019 GLU Alumni Workshop organised by The Global Labour University GLU at W ,NONE,neutral
79,"RT ghost wales Why should university students get a free education, what about thick bastards like me that left school at 16 to join the","free,like",positive
80,Plans for UL campus in Limerick city announced ,NONE,neutral
81,"Congratulations to TASB Associate Executive Director Robert Duron, recipient of the Baylor University School of Edu ",congratulations,positive
82,"RT Independent University vice chancellor paid 300,000 a year suspended for 'not paying rent' ",vice,negative
